帧号,球员ID,画面X,画面Y,雷达X,雷达Y,真实X(米),真实Y(米),队伍
20,21,1394.18,317.42,7711.47,2903.82,67.13,15.47,0
20,23,964.23,521.28,6839.94,4977.22,55.16,41.54,0
20,6,1789.21,894.48,10467.42,7080.93,105.0,68.0,3
20,22,627.77,210.71,2825.42,1673.73,0.0,0.0,3
21,1,393.77,659.08,5791.72,5615.91,40.76,49.58,1
21,2,860.85,419.44,5877.99,4164.33,41.94,31.32,1
21,3,639.7,341.61,4432.85,3419.6,22.09,21.95,1
21,4,933.92,648.51,7267.48,5720.19,61.03,50.89,1
21,5,882.65,488.29,6379.9,4726.96,48.84,38.4,1
21,7,606.98,468.85,5333.91,4548.51,34.47,36.15,1
21,8,618.37,395.3,4829.27,3948.71,27.53,28.61,1
21,9,964.43,429.3,6339.81,4255.85,48.29,32.47,1
21,10,768.23,325.44,4762.66,3211.85,26.62,19.34,1
21,11,943.34,351.85,5708.13,3478.82,39.61,22.7,0
21,12,1432.33,409.55,8352.21,4073.53,75.94,30.18,0
21,13,1094.24,346.91,6338.57,3392.46,48.27,21.61,0
21,14,1193.34,421.08,7251.06,4187.97,60.81,31.62,0
21,15,1451.94,478.97,8677.64,4745.38,80.41,38.63,0
21,16,1211.84,514.99,7749.93,4984.21,67.66,41.63,0
21,17,1490.75,667.96,9241.36,6018.74,88.15,54.64,0
21,18,926.06,330.52,5456.53,3232.88,36.15,19.61,1
21,19,924.57,233.45,4435.29,1823.53,22.12,1.88,1
21,20,1175.38,252.57,5949.14,1962.75,42.92,3.63,0
21,21,1394.18,317.42,7711.44,2903.92,67.13,15.47,0
21,23,964.23,521.28,6839.99,4977.27,55.16,41.54,0
21,6,1789.21,894.48,10467.45,7081.02,105.0,68.0,3
21,22,627.77,210.71,2825.49,1673.79,0.0,0.0,3
22,1,393.77,659.08,5791.72,5615.91,40.76,49.58,1
22,2,860.85,419.44,5877.99,4164.33,41.94,31.32,1
22,3,639.7,341.61,4432.85,3419.6,22.09,21.96,1
22,4,933.92,648.51,7267.48,5720.19,61.03,50.89,1
22,5,882.65,488.29,6379.9,4726.96,48.84,38.4,1
22,7,606.98,468.85,5333.91,4548.51,34.47,36.15,1
22,8,618.37,395.3,4829.27,3948.71,27.53,28.61,1
22,9,964.43,429.3,6339.81,4255.85,48.29,32.47,1
22,10,768.23,325.44,4762.66,3211.85,26.62,19.34,1
22,11,943.34,351.85,5708.13,3478.82,39.61,22.7,0
22,12,1432.33,409.55,8352.21,4073.53,75.94,30.18,0
22,13,1094.24,346.91,6338.57,3392.46,48.27,21.61,0
22,14,1193.34,421.08,7251.06,4187.97,60.81,31.62,0
