帧号,球员ID,画面X,画面Y,雷达X,雷达Y,真实X(米),真实Y(米),队伍
9,17,926.24,331.15,5466.7,3249.45,36.75,20.23,0
9,11,1175.43,253.12,5958.0,1982.99,43.46,4.44,1
9,19,1491.83,668.54,9246.63,6027.44,88.38,54.85,1
9,20,924.35,233.7,4440.48,1837.43,22.74,2.63,0
9,21,1394.45,317.76,7717.63,2919.66,67.5,16.12,1
9,22,964.92,520.76,6843.49,4980.71,55.56,41.81,1
9,6,1788.75,894.17,10463.28,7082.22,105.0,68.0,3
9,23,627.27,207.39,2775.74,1626.54,0.0,0.0,3
10,1,394.11,659.28,5798.29,5621.97,41.28,49.8,0
10,3,860.28,420.22,5885.21,4179.19,42.47,31.82,0
10,2,933.82,649.06,7272.3,5728.28,61.42,51.12,0
10,4,882.99,488.25,6384.83,4733.92,49.29,38.73,0
10,9,639.6,341.66,4437.21,3428.3,22.69,22.46,0
10,5,607.02,469.17,5340.8,4557.89,35.03,36.54,0
10,7,617.91,395.46,4833.55,3957.9,28.1,29.06,0
10,8,965.47,429.75,6350.44,4267.91,48.82,32.92,0
10,10,943.19,352.02,5712.83,3489.69,40.11,23.22,1
10,12,767.78,325.96,4769.95,3226.67,27.24,19.94,0
10,14,1094.31,347.32,6345.44,3406.7,48.76,22.19,1
10,15,1193.27,421.01,7253.47,4195.92,61.16,32.02,1
10,13,1432.31,409.55,8354.17,4082.88,76.19,30.61,1
10,18,1452.08,478.98,8679.87,4753.78,80.64,38.98,1
10,16,1212.04,514.83,7752.72,4990.4,67.98,41.93,1
10,17,926.24,331.15,5466.75,3249.51,36.75,20.23,0
10,11,1175.43,253.12,5958.04,1983.06,43.46,4.44,1
10,19,1491.83,668.55,9246.62,6027.52,88.38,54.85,1
10,20,924.35,233.7,4440.53,1837.49,22.74,2.63,0
10,21,1394.45,317.76,7717.65,2919.71,67.5,16.12,1
10,22,964.92,520.76,6843.49,4980.72,55.56,41.81,1
10,6,1788.74,894.18,10463.26,7082.24,105.0,68.0,3
10,23,627.27,207.4,2775.91,1626.69,0.0,0.0,3
11,1,394.11,659.28,5798.53,5622.05,41.29,49.8,0
11,3,860.28,420.22,5885.5,4179.36,42.47,31.82,0
11,2,933.82,649.06,7272.55,5728.31,61.42,51.13,0
11,4,882.99,488.25,6385.12,4734.06,49.3,38.73,0
11,9,639.6,341.65,4437.35,3428.42,22.69,22.46,0
11,5,607.02,469.17,5341.05,4558.04,35.04,36.54,0
11,7,617.91,395.46,4833.77,3958.07,28.11,29.06,0
11,8,965.47,429.75,6350.74,4268.08,48.83,32.92,0
11,10,943.19,352.02,5713.11,3489.87,40.12,23.22,1
11,12,767.78,325.96,4770.17,3226.85,27.24,19.95,0
11,14,1094.31,347.32,6345.77,3406.9,48.76,22.19,1
11,15,1193.27,421.01,7253.78,4196.1,61.16,32.03,1
11,13,1432.31,409.55,8354.44,4083.07,76.2,30.62,1
11,18,1452.08,478.99,8680.1,4753.92,80.65,38.98,1
11,16,1212.04,514.83,7752.99,4990.5,67.98,41.93,1
11,17,926.24,331.15,5467.03,3249.71,36.76,20.23,0
11,11,1175.43,253.12,5958.38,1983.28,43.47,4.44,1
11,19,1491.83,668.54,9246.73,6027.39,88.39,54.85,1
11,20,924.35,233.7,4440.73,1837.64,22.74,2.63,0
11,21,1394.45,317.76,7718.0,2919.98,67.5,16.12,1
11,22,964.92,520.76,6843.78,4980.83,55.56,41.81,1
11,6,1788.75,894.18,10463.15,7081.94,105.0,68.0,3
