帧号,球员ID,画面X,画面Y,雷达X,雷达Y,真实X(米),真实Y(米),队伍
12,1,394.11,659.28,5798.52,5621.93,41.27,49.8,0
12,3,860.28,420.21,5885.86,4179.12,42.47,31.82,0
12,2,933.82,649.06,7272.67,5728.11,61.41,51.13,0
12,4,883.0,488.24,6385.38,4733.77,49.29,38.73,0
12,9,639.61,341.65,4437.89,3428.23,22.69,22.45,0
12,5,607.02,469.17,5341.3,4557.86,35.03,36.54,0
12,7,617.91,395.46,4834.17,3957.9,28.1,29.06,0
12,8,965.47,429.75,6351.13,4267.85,48.82,32.92,0
12,10,943.2,352.01,5713.62,3489.57,40.12,23.22,1
12,12,767.78,325.96,4770.82,3226.73,27.24,19.94,0
12,14,1094.31,347.32,6346.35,3406.71,48.76,22.19,1
12,15,1193.3,421.0,7254.23,4195.7,61.16,32.02,1
12,13,1432.33,409.55,8354.95,4082.74,76.2,30.61,1
12,18,1452.08,478.98,8680.4,4753.55,80.64,38.98,1
12,16,1212.04,514.83,7753.27,4990.2,67.98,41.93,1
12,17,926.24,331.15,5467.64,3249.54,36.75,20.23,0
12,11,1175.43,253.12,5959.36,1983.4,43.47,4.44,1
12,19,1491.82,668.55,9246.95,6027.17,88.38,54.85,1
12,20,924.35,233.7,4441.85,1837.79,22.74,2.63,0
12,21,1394.45,317.76,7718.61,2919.81,67.5,16.12,1
12,22,964.92,520.76,6844.02,4980.59,55.56,41.81,1
12,6,1788.74,894.18,10463.38,7081.77,105.0,68.0,3
12,23,627.27,207.4,2777.08,1626.94,0.0,0.0,3
13,1,393.86,659.19,5795.76,5620.51,40.96,49.69,0
13,3,860.69,419.41,5881.31,4169.86,42.14,31.48,0
13,2,933.95,648.3,7269.71,5722.77,61.19,50.97,0
13,9,639.53,341.51,4433.91,3424.07,22.27,22.12,0
13,4,882.77,488.17,6383.62,4731.42,49.03,38.53,0
13,5,606.96,468.86,5337.49,4554.05,34.67,36.3,0
13,7,618.06,395.32,4831.66,3954.63,27.73,28.78,0
13,8,965.03,429.58,6348.17,4264.1,48.54,32.66,0
13,10,943.4,351.96,5713.64,3486.08,39.84,22.9,1
